'Name';'Constraint template';'Implying activity';'Implied activity';'Support';'Confidence level';'Interest factor'
'AtMostOne()';'AtMostOne';'';'';60.267;41.711;28.869
'End()';'End';'';'';27.543;19.063;13.194
'Init()';'Init';'';'';0.189;0.131;0.091
'Participation()';'Participation';'';'';69.211;47.901;33.153
'CoExistence(, Bye)';'CoExistence';'';'Bye';9.524;0.468;0.324
'Succession(, Bye)';'Succession';'';'Bye';7.244;0.356;0.246
'AlternateSuccession(, Bye)';'AlternateSuccession';'';'Bye';3.248;0.159;0.110
'ChainSuccession(, Bye)';'ChainSuccession';'';'Bye';0.013;0.001;0.000
'RespondedExistence(, Bye)';'RespondedExistence';'';'Bye';7.465;5.166;0.254
'Response(, Bye)';'Response';'';'Bye';5.637;3.901;0.192
'AlternateResponse(, Bye)';'AlternateResponse';'';'Bye';1.672;1.157;0.057
'ChainResponse(, Bye)';'ChainResponse';'';'Bye';0.007;0.005;0.000
'NotChainSuccession(, Bye)';'NotChainSuccession';'';'Bye';99.987;4.909;3.398
'NotSuccession(, Bye)';'NotSuccession';'';'Bye';92.756;4.554;3.152
'NotCoExistence(, Bye)';'NotCoExistence';'';'Bye';90.476;4.442;3.075
'CoExistence(, Feedback)';'CoExistence';'';'Feedback';82.438;57.056;49.141
'Succession(, Feedback)';'Succession';'';'Feedback';54.316;37.593;32.378
'AlternateSuccession(, Feedback)';'AlternateSuccession';'';'Feedback';25.374;17.561;15.125
'ChainSuccession(, Feedback)';'ChainSuccession';'';'Feedback';0.380;0.263;0.227
'RespondedExistence(, Feedback)';'RespondedExistence';'';'Feedback';90.973;62.963;54.229
'Response(, Feedback)';'Response';'';'Feedback';59.399;41.111;35.408
'AlternateResponse(, Feedback)';'AlternateResponse';'';'Feedback';39.012;27.001;23.255
'ChainResponse(, Feedback)';'ChainResponse';'';'Feedback';0.585;0.405;0.349
'NotChainSuccession(, Feedback)';'NotChainSuccession';'';'Feedback';99.620;68.948;59.383
