3774;A;sd
3774;B;b
3774;A;sv
3774;B;b
3774;A;+
3774;A;qy^d
3774;B;na
3774;A;b
3774;B;sd^r
3774;A;x
3774;B;%
3774;B;sd
3774;B;sd
3774;B;%
3774;A;b
3774;A;x
3774;B;sd
3774;B;sd
3774;B;sd
3774;B;sd
3774;A;b
3774;B;qo
3774;A;sd
3774;A;sd
3774;B;b
3774;A;+
3774;A;sd
3774;B;b
3774;A;+
3774;A;sd
3774;B;b
3774;A;+
3774;B;b
3774;A;+
3774;B;b
3774;A;sd
3774;B;ba
3774;A;+
3774;B;b
3774;A;+
3774;B;b
3774;A;+
3774;A;sd
3774;B;b
3774;A;+
3774;B;x
3774;A;+
3774;B;x
3774;A;+
3774;A;+
3774;A;%
3774;B;sd
3774;B;sd
3774;A;b
3774;B;sd
3774;B;sd
3774;A;b
3774;B;sd
3774;B;%
3774;B;sd
3774;B;b
3774;B;%
3774;A;sd
3774;A;sd
3774;A;sv
3774;B;b
3774;A;+
3774;B;b
3774;B;b^r
3774;B;%
3774;A;sd
3774;B;%
3774;B;sd
3774;A;x
3774;B;+
3774;B;sv
3774;A;b
3774;B;+
3774;A;b
3774;A;%
3774;A;sd
3774;B;b
3774;A;+
3774;A;sd
3774;B;ba
3774;A;+
3774;A;%
3774;A;%
3774;A;sd
3774;A;sd
3774;B;b
3774;A;+
3774;B;b
3774;A;+
3774;A;sd
3774;B;b
3774;B;b^r
3774;A;sv
3774;B;b
3774;A;+
3774;A;sd
3774;B;b
3774;A;+
3774;A;+
3774;A;sd
3774;B;b
3774;B;b^r
3774;A;+
3774;B;b
3774;A;sv
3774;B;b
3774;A;+
3774;A;sv
3774;B;b
3774;B;ba
3774;A;qy
3774;B;%
3774;A;+
3774;B;ny
3774;B;sd
3774;A;b
3774;B;x
3774;A;qr
3774;B;na
3774;A;+
3774;B;+
3774;A;%
3774;B;sd
3774;B;sd
3774;B;sv
3774;A;b
3774;B;+
3774;B;h
3774;B;sd
3774;A;x
3774;B;+
3774;A;b
3774;B;sd
3774;A;b
3774;A;sd
3774;A;sd
3774;A;sd
3774;B;b
3774;A;+
3774;B;b
3774;A;sd
3774;B;b
3774;A;sd
3774;A;sv
3774;B;b
3774;A;sd
3774;B;x
3774;A;+
3774;A;sd
3774;B;b
3774;A;sd
3774;B;b
3774;A;sv
3774;B;b
3774;A;+
3774;B;b
3774;A;sv
3774;A;sd
3774;B;%
3774;A;+
3774;B;aa
3774;A;sv
3774;B;aa
3774;A;fc
3184;A;ad
3184;B;aa
3184;B;sd
3184;A;b
3184;A;b
3184;B;sd
3184;B;sd
3184;B;sd
3184;A;b
3184;B;+
3184;A;b
3184;A;b
3184;B;+
3184;B;%
3184;A;b
3184;A;sd
3184;A;sd
3184;A;sd
3184;A;sd
3184;A;sd
3184;A;sd
3184;B;b
3184;A;+
3184;A;sd
3184;A;sd
3184;A;%
3184;A;sd
3184;A;sd
3184;B;b
3184;A;+
3184;A;%
3184;B;b
3184;B;sd
3184;B;+
3184;B;sd
3184;A;bh
3184;B;sd
3184;B;sd
3184;A;b
3184;B;+
3184;A;b
3184;B;%
3184;A;b
3184;A;b
3184;A;b^r
3184;B;+
3184;A;b
3184;B;+
3184;B;sd
3184;B;sd
3184;B;sd
3184;B;sd
3184;A;b
3184;B;%
3184;A;qy^d
3184;B;ny
3184;B;sd^e
3184;A;b
3184;A;b
3184;A;b^r
3184;B;%
3184;A;sd
3184;A;sd
3184;A;sd
3184;A;sd
3184;A;sv
3184;B;b
3184;A;%
3184;A;sv
3184;A;sd^t
3184;B;qy^t
3184;A;qy^d^t
3184;B;ny
3184;A;ny
3184;A;sd^e
3184;B;bh
3184;A;sd^t
3184;A;sd^t
3184;B;b
3184;B;qy
3184;A;nn
3184;A;nn
3184;B;b^m
3184;B;b
3184;A;nn
3184;A;sd^e
3184;A;sd
3184;A;%
3184;B;bh
3184;A;ny
3184;A;ny^r
3184;B;b
3184;A;%
3184;B;ba
3184;A;o
3184;A;qy^t
3184;B;nn
3184;B;nn
3184;B;sd^t
3184;A;b
3184;B;%
3184;A;sd^t
3184;B;+
3184;A;sd^t
3184;B;b
3184;B;b^r
3184;B;sd^t
3184;B;sd^t
3184;A;%
3184;B;+
3184;A;b
3184;B;+
3184;B;sd
3184;A;b
3184;A;b^r
3184;B;+
3184;A;b
3184;A;b
3184;B;sv^t
3184;B;fc
3184;A;fc
3184;B;+
3184;B;fc
3184;A;fc
3184;A;fc
3184;B;fc
3184;B;fc
3184;A;fc
3184;B;fc
2353;A;qo
2353;B;sd
2353;A;b
2353;B;sd
2353;A;b
2353;A;b^r
2353;B;+
2353;B;sv
2353;A;b
2353;B;+
2353;B;sv
2353;B;sd
2353;A;b
2353;B;sd
2353;B;sd
2353;A;aa
2353;B;+
2353;A;+
2353;A;sd
2353;A;sd
2353;A;sd
2353;B;b
2353;A;sd
2353;B;b
2353;A;sd
2353;A;sd
2353;A;sd
2353;B;b
2353;A;%
2353;A;sd
2353;A;sd
2353;B;b
2353;A;sd
2353;A;sd
2353;B;b
2353;A;sd
2353;A;sd
2353;B;x
2353;A;+
2353;B;b
2353;A;sd
2353;B;%
2353;A;sd
2353;A;sd
2353;A;qy
2353;B;ny
2353;A;+
2353;B;ny^r
2353;A;sd
2353;B;b
2353;A;sd
2353;A;sd
2353;A;sd
2353;B;b
2353;A;+
2353;B;sv
2353;B;sv
2353;B;sv
2353;A;b
2353;B;+
2353;B;sv
2353;A;b
2353;B;+
2353;B;sd
2353;B;+
2353;B;+
2353;A;b
2353;B;+
2353;A;b
2353;B;+
2353;A;sd
2353;A;%
2353;A;sd
2353;B;b
2353;A;sd
2353;A;sd
2353;B;b
2353;A;sd
2353;B;ba
2353;A;sd
2353;A;sd
2353;B;b
2353;A;%
2353;A;sd
2353;A;sd
2353;A;sd
2353;A;sd
2353;A;sd
2353;B;b
2353;A;+
2353;B;b
2353;A;+
2353;A;%
2353;A;sd
2353;B;b
2353;A;b
2353;B;%
2353;B;%
2353;B;sd
2353;A;b
2353;B;+
2353;A;b
2353;B;+
2353;A;b
2353;B;sd
2353;A;b
2353;A;b
2353;B;sd
2353;B;sd
2353;A;b
2353;B;+
2353;B;sd
2353;A;b
2353;B;+
2353;B;%
2353;A;aa
2353;A;sd
2353;A;sd
2353;B;b
2353;A;+
2353;A;sd
2353;B;aa
2353;B;sv
2353;B;sv
2353;A;b
2353;B;+
2353;A;b
2353;B;+
2353;B;sv
2353;A;aa
2353;A;sv
2353;B;+
2353;B;%
2353;A;aa
2353;A;ba
2353;B;%
2353;A;%
2353;A;%
2353;A;sv^t
2353;B;b
2353;A;+
2353;B;b
2353;A;%
2353;B;%
2353;B;sv
2353;A;b
2353;B;+
2353;A;aa
2353;A;ba
2353;B;+
2353;B;%
2353;B;sd
2353;A;b
2353;B;sd
